step 0
step 1
39 695.8197161407326 1036.9186396805353
4 843.0762856297818 1183.1371812810464
40 666.6557250707488 1367.9353445567872
41 972.4573513503135 967.1997721294293
42 626.0093310190858 1332.4081693184353
43 624.1066968254561 1351.1518543054399
44 1323.8145956135784 941.1963808586695
45 1160.020604477735 870.8213191567844
46 646.2453900343905 1366.4690277343527
47 1138.0776758017987 1067.0482402504176
48 1102.6373919223258 976.8643527128245
49 1337.416719485656 1381.3176256745644
5 1094.7768276225559 1171.0499721067897
50 848.7170309470678 1033.2076948474019
51 635.9774074996207 1292.5687810562702
52 1374.2309803921569 982.9192156862745
6 769.5078731353565 1238.4193217685665
7 995.063739175375 1163.3547020826456
8 1337.1812130670246 1190.8460992239498
9 1339.5216150281979 895.8598785686937
step 21
0 1171.764455668227 881.363074710554
1 1065.3837052557851 970.9304756859383
10 1129.166848987167 928.4844690936862
11 884.5008577795047 861.4619440657153
12 783.1287304073901 945.8167840939732
13 1266.7853640019953 1287.9923147946336
15 961.516359938807 1057.6514013330548
16 675.0038681889215 756.2967591921625
17 1252.9021557589958 1419.3165554593525
18 765.1684882869773 844.745356436672
19 1259.688895889699 1417.4976972684606
2 941.9417542773072 964.7677404835102
20 630.9869631206582 1242.691887233089
21 862.891887461385 1252.1821175753703
22 1238.1555909246788 1179.6751388473333
23 1343.9134986358258 1316.5462827650251
24 860.4488461086447 1146.412350594042
25 831.3863448362139 1363.7560426803168
26 1032.8187793152142 1169.477707676083
27 1206.4249851890688 984.6294030802785
28 1111.7140723809307 1156.4501498859993
29 975.3495863239477 1172.43448518493
3 856.6141058103717 1134.5659152624203
30 1105.7404372286892 1191.5481462496678
31 833.6853805235817 1334.8418931231295
32 931.0447059394039 954.2686972015465
33 1274.607814826677 1189.1321009786006
34 1342.6281467315005 1330.892007979711
35 1123.9511477190954 912.7684339469856
36 1331.6176031122159 913.4097198518072
37 839.1713830054626 1305.1809147401032
38 881.0369200025643 810.8838125551284
39 702.9228483391681 1037.5242082046764
4 843.9930185901419 1171.4683091222137
40 677.575618119935 1368.7198501932053
41 967.0393036376477 966.7679646355507
42 627.0592108540918 1321.005527369791
43 624.4890241791275 1347.406712134168
44 1326.2445514651674 933.6633116156178
45 1167.317561541839 874.6016920751205
46 652.4333361965786 1366.9135814145236
47 1144.4128472045986 1067.2980238715852
48 1097.8380743234804 973.306197116414
49 1337.857068583807 1377.4223126253946
5 1088.9241063289378 1170.5982934813271
50 848.9883846027961 1029.4557652393166
51 635.6215685929317 1296.622571821822
52 1372.1749823015416 982.5035000495958
53 1132.5698944546782 1066.8310790274593
55 1097.687047714575 1253.06266964215
56 1105.4284778527146 1154.714737281382
57 974.7100972362213 1144.5987398185723
6 777.2183872377236 1239.099078931942
7 992.3901769916415 1163.148230774546
8 1324.357830786901 1189.8502750602715
9 1338.9706927110356 902.348319295752
step 22
0 1164.2555966544944 880.7840159644345
1 1053.2402185519131 973.2483858414233
10 1131.7112169665932 937.1743467911317
11 884.1887940681105 861.4397105188476
12 791.0766678989718 946.4394033170179
13 1264.0970462490334 1281.7314569461582
15 969.0510247373547 1058.2394073080584
16 674.5351819876274 763.9544568475692
17 1253.5032934018 1414.3981744437403
18 772.0482997718373 845.3108296719802
19 1257.3196543969634 1419.4087381876357
2 933.9933755324743 964.1342707009942
20 631.0118757557942 1242.4303045641607
21 856.4175278126299 1251.7720321470251
22 1251.4776936606404 1180.8180154312183
23 1344.5680597186906 1309.5665277053959
24 865.6457012376927 1146.9017115932406
25 830.8176058929936 1370.4222294055053
26 1025.22353341569 1168.8915512445972
27 1198.6574448897134 984.0368618639313
28 1111.52243173781 1158.9524975835468
29 975.4104686032615 1171.8791271678367
3 856.2492495123175 1139.0068197154296
30 1106.3350168702843 1184.113402495938
31 832.5508711248565 1349.1102120574612
32 938.1191494051769 954.8325161019227
33 1259.5350414799855 1187.9399788777055
34 1343.0700309205558 1325.9708135373883
35 1124.5232042174825 905.287405142709
36 1332.2030920059003 906.4283206385046
37 838.0197241155446 1319.621913349936
38 880.0637318679429 824.4212600936272
39 709.1515473597799 1038.055228037598
4 844.5601291191922 1164.249696342309
40 690.237834106025 1369.6295275834407
41 959.3237779500398 966.1530527728639
42 628.2438679363419 1307.5219758518178
43 625.0438113320896 1341.9334756475462
44 1328.587106460423 926.4011924403345
45 1175.8261251781082 875.2578806992859
46 660.0809307428062 1367.462998977455
47 1151.7846708325626 1067.588492171533
48 1090.9540710911976 972.8022750105094
49 1338.5401844110072 1371.3794934009188
5 1082.77986469315 1170.1241170294963
50 849.3841527245763 1023.9835922919593
51 635.0542734555844 1303.0853159059918
52 1368.5367960523195 981.7678714904769
53 1134.574578897578 1066.910119878544
54 1337.2219249985023 1383.0407710401444
55 1097.820488000366 1251.262221607004
56 1105.559986170199 1152.9932637419804
57 974.8354199521175 1142.9745574205583
58 828.2573229546553 1153.5697507207585
59 1364.8047600099478 1207.2420964934097
6 784.8076215325227 1239.7665097619474
60 1120.5088093443858 957.7853730218538
7 990.0356881912767 1161.350478462428
8 1311.8814355654813 1188.881396837219
9 1338.3789739869121 909.4092555342248
step 23
0 1156.0948185536645 880.1546833420235
1 1040.3958488241776 972.3081535922773
10 1131.0827792833163 945.3937319106302
11 884.1534887133981 861.4371951246187
12 798.623573939204 947.0291915219302
13 1264.7855999434005 1273.5090665220393
15 974.5650532725554 1058.669722632194
16 673.9722027016053 773.1527757797485
17 1254.0034051186317 1408.028646079009
18 778.6560837825375 845.8567819756361
19 1256.547606778505 1416.5036700224462
2 925.7142336346919 963.4744397611541
20 631.0144782786094 1242.4029780746005
21 849.24768944602 1250.8797094338317
22 1261.0595770639634 1181.6400260693447
23 1345.2887801237541 1302.2113297222304
24 871.9209675193479 1147.3497146816587
25 830.5360572775916 1372.9028348903926
26 1018.3803565308469 1168.3634350787868
27 1191.1050088068112 983.460729717785
28 1111.4344455970122 1160.101376617015
29 975.4107380663204 1171.87666917067
3 855.2809889633284 1145.6888295797332
30 1107.0469391445195 1175.1104372706877
31 831.7730507812743 1358.892580320178
32 945.577543069853 955.4269350600973
33 1243.6579502397058 1186.572851201658
34 1343.6652919880332 1319.3342783669752
35 1125.129334761141 897.3607753971365
36 1332.575378177198 901.9891614820177
37 836.888908109961 1334.9130103534833
38 879.325075561973 834.6962733570588
39 715.85794178111 1038.626973185876
4 845.3442098614602 1154.5572287587552
40 704.1966028127044 1370.6323517574983
41 952.5482179101411 965.6130542797512
42 629.4600554458794 1293.6795507432635
43 625.8301909560981 1334.1754703882696
44 1331.0841930128108 918.6600123309383
45 1184.3138346252354 875.9124610282953
46 670.1945816449002 1368.1895826630023
47 1158.3798774761824 1067.8475214475345
48 1082.192445756638 972.1609074020467
49 1342.4819801850276 1365.0320189508038
5 1076.5280193590797 1169.6416363567575
50 849.9164821263298 1016.6232254734911
51 634.2755346116434 1311.9568706320324
52 1362.5960226888258 980.5666678549086
53 1138.1525308218054 1067.0511916398546
54 1337.470777707625 1380.8394284934293
55 1101.3150204307383 1247.395470911095
56 1109.018040893445 1149.73436695122
57 978.3204865652856 1139.4502983480604
58 826.5144222225673 1153.4297613585695
59 1361.3939068235056 1209.0897313099558
6 792.3152221109426 1240.4264047046433
60 1120.6229098114025 956.2932321533538
61 1282.2903932319684 976.2904954151553
62 671.9178168083507 854.2427444016033
7 992.4846198508876 1159.9369472752626
8 1298.959074091599 1187.8778862558163
9 1337.7896512887357 916.4416001703922
step 24
